County,First Dose,Series Complete,Report as of
Queens,1084235,753199,4/30/21
Richmond,198034,152141,4/30/21
Bronx,429521,309012,5/1/21
Kings,980812,690829,5/1/21
New York,892113,676008,5/1/21
Queens,1091798,764693,5/1/21
Richmond,198806,153356,5/1/21
Bronx,431242,310981,5/2/21
Kings,984731,701469,5/2/21
New York,894417,682458,5/2/21
Queens,1097012,776098,5/2/21
Richmond,199352,154203,5/2/21
Bronx,434080,314928,5/3/21
Kings,990384,713973,5/3/21
New York,897480,691382,5/3/21
Queens,1103992,788566,5/3/21
Richmond,200121,155813,5/3/21
Bronx,439681,320286,5/4/21
Kings,998224,728464,5/4/21
New York,903105,704760,5/4/21
Queens,1113344,803149,5/4/21
Richmond,201171,158390,5/4/21
Bronx,444179,325916,5/5/21
Kings,1005853,743328,5/5/21
New York,908985,717607,5/5/21
Queens,1122389,819371,5/5/21
Richmond,202238,160916,5/5/21
Bronx,448194,331815,5/6/21
Kings,1012422,757955,5/6/21
New York,913289,729160,5/6/21
Queens,1129621,835111,5/6/21
Richmond,203503,163305,5/6/21
Bronx,451977,337850,5/7/21
Kings,1018934,773479,5/7/21
New York,917672,742316,5/7/21
Queens,1136618,852074,5/7/21
Richmond,204534,165988,5/7/21
Bronx,455317,344047,5/8/21
Kings,1024965,788705,5/8/21
New York,921429,755127,5/8/21
Queens,1144374,870217,5/8/21
Richmond,205684,168751,5/8/21
Bronx,457373,348004,5/9/21
Kings,1029350,801566,5/9/21
New York,924668,766345,5/9/21
Queens,1149979,884536,5/9/21
Richmond,206617,170469,5/9/21
Bronx,460151,352395,5/10/21
Kings,1034416,813455,5/10/21
New York,927235,772882,5/10/21
Queens,1155954,896586,5/10/21
Richmond,207209,172075,5/10/21
Bronx,463907,357642,5/11/21
Kings,1039397,825451,5/11/21
New York,930373,781672,5/11/21
Queens,1161077,908639,5/11/21
Richmond,207875,173700,5/11/21
Bronx,467095,362212,5/12/21
Kings,1044162,835693,5/12/21
New York,933304,788935,5/12/21
Queens,1166446,920379,5/12/21
Richmond,208777,174866,5/12/21
Bronx,471079,367440,5/13/21
Kings,1050836,846660,5/13/21
New York,938269,796875,5/13/21
Queens,1173396,931514,5/13/21
Richmond,210180,176831,5/13/21
Bronx,476315,373758,5/14/21
Kings,1058871,859603,5/14/21
New York,944500,806036,5/14/21
Queens,1181603,945606,5/14/21
Richmond,211368,178876,5/14/21
Bronx,479314,377605,5/15/21
Kings,1064505,869099,5/15/21
New York,949045,812340,5/15/21
Queens,1188991,957550,5/15/21
Richmond,212523,180423,5/15/21
Bronx,481320,379801,5/16/21
Kings,1068351,874892,5/16/21
New York,952233,815935,5/16/21
Queens,1194052,965049,5/16/21
Richmond,213185,181448,5/16/21
Bronx,485307,384217,5/17/21
Kings,1073009,881392,5/17/21
New York,955776,820720,5/17/21
Queens,1199520,974363,5/17/21
Richmond,214103,182866,5/17/21
Bronx,493139,391698,5/18/21
Kings,1082719,893313,5/18/21
New York,964722,829673,5/18/21
Queens,1209691,987618,5/18/21
Richmond,215384,184527,5/18/21
Bronx,503360,402231,5/19/21
Kings,1091379,903326,5/19/21
New York,972496,837459,5/19/21
Queens,1220802,1000255,5/19/21
Richmond,216654,185835,5/19/21
Bronx,510346,409680,5/20/21
Kings,1102330,915592,5/20/21
New York,980802,847515,5/20/21
Queens,1232515,1013931,5/20/21
Richmond,218478,187539,5/20/21
Bronx,518016,416227,5/21/21
Kings,1109169,923839,5/21/21
New York,985659,853467,5/21/21
Queens,1240889,1024521,5/21/21
Richmond,219495,188603,5/21/21
Bronx,530122,428989,5/22/21
Kings,1115151,931247,5/22/21
New York,989045,858790,5/22/21
Queens,1249798,1035427,5/22/21
Richmond,220388,189597,5/22/21
Bronx,533165,431577,5/23/21
Kings,1119659,936703,5/23/21
New York,996596,866100,5/23/21
Queens,1256148,1042483,5/23/21
Richmond,220947,190300,5/23/21
Bronx,544940,443031,5/24/21
Kings,1125348,943234,5/24/21
New York,1001019,870547,5/24/21
Queens,1262739,1050974,5/24/21
Richmond,221669,191104,5/24/21
Bronx,549308,447187,5/25/21
Kings,1138733,955490,5/25/21
New York,1005451,875430,5/25/21
Queens,1271203,1060171,5/25/21
Richmond,223357,192664,5/25/21
Bronx,553525,451391,5/26/21
Kings,1144950,962173,5/26/21
New York,1009070,879544,5/26/21
Queens,1278288,1068468,5/26/21
Richmond,224450,193598,5/26/21
Bronx,576014,458337,5/27/21
Kings,1151061,968957,5/27/21
New York,1013084,884121,5/27/21
Queens,1285099,1076211,5/27/21
Richmond,225552,194674,5/27/21
Bronx,587103,467224,5/28/21
Kings,1157293,976050,5/28/21
New York,1018128,890120,5/28/21
Queens,1292270,1084834,5/28/21
Richmond,226652,195929,5/28/21
Bronx,597226,492537,5/29/21
Kings,1161568,981365,5/29/21
New York,1021568,894352,5/29/21
Queens,1298842,1092571,5/29/21
Richmond,227592,196933,5/29/21
Bronx,600085,498871,5/30/21
Kings,1164322,984816,5/30/21
New York,1023345,896855,5/30/21
Queens,1302293,1097042,5/30/21
Richmond,228147,197545,5/30/21
Bronx,601191,500096,5/31/21
Kings,1166587,987641,5/31/21
New York,1024792,898491,5/31/21
Queens,1305396,1100828,5/31/21
Richmond,228622,198072,5/31/21
Bronx,604062,503707,6/1/21
Kings,1170048,993163,6/1/21
New York,1027149,902328,6/1/21
Queens,1309432,1106923,6/1/21
Richmond,229455,199124,6/1/21
Bronx,607541,507372,6/2/21
Kings,1175916,1000116,6/2/21
New York,1030299,906260,6/2/21
Queens,1314984,1113512,6/2/21
Richmond,230230,200462,6/2/21
Bronx,611291,511646,6/3/21
Kings,1180572,1006748,6/3/21
New York,1033764,911871,6/3/21
Queens,1321037,1121642,6/3/21
Richmond,231167,201746,6/3/21
Bronx,614735,516035,6/4/21
Kings,1184935,1013875,6/4/21
New York,1037339,918612,6/4/21
Queens,1326492,1129554,6/4/21
Richmond,231979,202956,6/4/21
Bronx,617033,519101,6/5/21
Kings,1188637,1019861,6/5/21
New York,1040015,924219,6/5/21
Queens,1331409,1137598,6/5/21
Richmond,232665,204112,6/5/21
Bronx,618302,521174,6/6/21
Kings,1191115,1024134,6/6/21
New York,1041842,928648,6/6/21
Queens,1334218,1143741,6/6/21
Richmond,233179,204865,6/6/21
Bronx,620803,524850,6/7/21
Kings,1194746,1029986,6/7/21
New York,1044621,933761,6/7/21
Queens,1338267,1150335,6/7/21
Richmond,233695,205686,6/7/21
Bronx,623749,528620,6/8/21
Kings,1199437,1037343,6/8/21
New York,1048524,940334,6/8/21
Queens,1343345,1158319,6/8/21
Richmond,234393,206809,6/8/21
Bronx,627212,532813,6/9/21
Kings,1205159,1046409,6/9/21
New York,1052508,945713,6/9/21
Queens,1349673,1167628,6/9/21
Richmond,235854,208249,6/9/21
Bronx,630242,536967,6/10/21
Kings,1209088,1053503,6/10/21
New York,1055984,950243,6/10/21
Queens,1354515,1175214,6/10/21
Richmond,236527,209232,6/10/21
Bronx,633194,542218,6/11/21
Kings,1213400,1060965,6/11/21
New York,1059276,955257,6/11/21
