Region,County,First Dose,Series Complete,Report as of
New York City,Kings,5259,20,2020-12-22
North Country,Lewis,8,0,2020-12-22
Finger Lakes,Livingston,86,0,2020-12-22
Central New York,Madison,182,0,2020-12-22
Finger Lakes,Monroe,2665,6,2020-12-22
Mohawk Valley,Montgomery,103,0,2020-12-22
Long Island,Nassau,4163,17,2020-12-22
New York City,New York,6610,15,2020-12-22
Western New York,Niagara,567,1,2020-12-22
Mohawk Valley,Oneida,516,0,2020-12-22
Central New York,Onondaga,1467,7,2020-12-22
Finger Lakes,Ontario,237,1,2020-12-22
Mid-Hudson,Orange,1198,11,2020-12-22
Finger Lakes,Orleans,33,0,2020-12-22
Central New York,Oswego,85,0,2020-12-22
Mohawk Valley,Otsego,183,0,2020-12-22
Mid-Hudson,Putnam,135,3,2020-12-22
New York City,Queens,3934,16,2020-12-22
Capital Region,Rensselaer,293,2,2020-12-22
New York City,Richmond,1784,4,2020-12-22
Mid-Hudson,Rockland,853,0,2020-12-22
Capital Region,Saratoga,703,1,2020-12-22
Capital Region,Schenectady,407,0,2020-12-22
Mohawk Valley,Schoharie,27,0,2020-12-22
Southern Tier,Schuyler,1,0,2020-12-22
Finger Lakes,Seneca,30,0,2020-12-22
North Country,St. Lawrence,688,2,2020-12-22
Southern Tier,Steuben,84,0,2020-12-22
Long Island,Suffolk,2897,14,2020-12-22
Mid-Hudson,Sullivan,88,3,2020-12-22
Southern Tier,Tioga,4,0,2020-12-22
Southern Tier,Tompkins,37,0,2020-12-22
Mid-Hudson,Ulster,305,2,2020-12-22
Capital Region,Warren,159,0,2020-12-22
Capital Region,Washington,75,0,2020-12-22
Finger Lakes,Wayne,95,1,2020-12-22
Mid-Hudson,Westchester,2655,11,2020-12-22
Finger Lakes,Wyoming,63,0,2020-12-22
Finger Lakes,Yates,18,0,2020-12-22
Capital Region,Albany,2062,7,2020-12-23
Western New York,Allegany,142,0,2020-12-23
New York City,Bronx,2041,5,2020-12-23
Southern Tier,Broome,84,0,2020-12-23
Western New York,Cattaraugus,284,0,2020-12-23
Central New York,Cayuga,128,0,2020-12-23
Western New York,Chautauqua,321,0,2020-12-23
Southern Tier,Chemung,17,1,2020-12-23
Southern Tier,Chenango,79,0,2020-12-23
North Country,Clinton,284,0,2020-12-23
Capital Region,Columbia,153,1,2020-12-23
Central New York,Cortland,133,0,2020-12-23
Southern Tier,Delaware,110,1,2020-12-23
Mid-Hudson,Dutchess,731,8,2020-12-23
Western New York,Erie,6076,9,2020-12-23
North Country,Essex,87,0,2020-12-23
North Country,Franklin,228,0,2020-12-23
Mohawk Valley,Fulton,174,0,2020-12-23
Finger Lakes,Genesee,55,1,2020-12-23
Capital Region,Greene,86,2,2020-12-23
North Country,Hamilton,8,0,2020-12-23
Mohawk Valley,Herkimer,153,0,2020-12-23
North Country,Jefferson,105,0,2020-12-23
New York City,Kings,6980,27,2020-12-23
North Country,Lewis,18,0,2020-12-23
Finger Lakes,Livingston,150,1,2020-12-23
Central New York,Madison,274,0,2020-12-23
Finger Lakes,Monroe,3044,6,2020-12-23
Mohawk Valley,Montgomery,251,0,2020-12-23
Long Island,Nassau,5820,24,2020-12-23
New York City,New York,9043,17,2020-12-23
Western New York,Niagara,831,3,2020-12-23
Mohawk Valley,Oneida,925,2,2020-12-23
Central New York,Onondaga,1663,7,2020-12-23
Finger Lakes,Ontario,445,1,2020-12-23
Mid-Hudson,Orange,1393,12,2020-12-23
Finger Lakes,Orleans,42,0,2020-12-23
Central New York,Oswego,104,0,2020-12-23
Mohawk Valley,Otsego,277,0,2020-12-23
Mid-Hudson,Putnam,199,4,2020-12-23
New York City,Queens,5675,20,2020-12-23
Capital Region,Rensselaer,555,5,2020-12-23
New York City,Richmond,2354,7,2020-12-23
Mid-Hudson,Rockland,1091,0,2020-12-23
Capital Region,Saratoga,1224,4,2020-12-23
Capital Region,Schenectady,680,2,2020-12-23
Mohawk Valley,Schoharie,42,1,2020-12-23
Southern Tier,Schuyler,15,0,2020-12-23
Finger Lakes,Seneca,39,0,2020-12-23
North Country,St. Lawrence,847,2,2020-12-23
Southern Tier,Steuben,196,0,2020-12-23
Long Island,Suffolk,3712,16,2020-12-23
Mid-Hudson,Sullivan,103,3,2020-12-23
